date,cost_per_mb,cost_per_genome
2001-09-30,5292.39288459743,95263071.9227537
2002-03-31,3898.63541198599,70175437.4157478
2002-09-30,3413.80119458543,61448421.5025378
2003-03-31,2986.20467096558,53751684.0773804
2003-10-31,2230.97523501797,40157554.2303234
2004-01-31,1598.90978924023,28780376.2063242
2004-04-30,1135.69867449144,20442576.1408458
2004-07-31,1107.46365195489,19934345.735188
2004-10-31,1028.850675757,18519312.163626
2005-01-31,974.164975656398,17534969.5618152
2005-04-30,897.761079893624,16159699.4380852
2005-07-31,898.901339133253,16180224.1043986
2005-10-31,766.729121883708,13801124.1939067
2006-01-31,699.203272287638,12585658.9011775
2006-04-30,651.807473345772,11732534.5202239
2006-07-31,636.406401173526,11455315.2211235
2006-10-31,581.919797835996,10474556.3610479
2007-01-31,522.707717206898,9408738.90972417
2007-04-30,502.611276062252,9047002.96912053
2007-07-31,495.963452377878,8927342.14280181
2007-10-31,397.087299360161,7147571.3884829
2008-01-31,102.127332976897,3063819.9893069
2008-04-30,15.0331358774212,1352982.22896791
2008-07-31,8.35644335788914,752079.902210023
2008-10-31,3.8055784468656,342502.060217904
2009-01-31,2.58594930825627,232735.437743064
2009-04-30,1.71903998969201,154713.599072281
2009-07-31,1.20072377153171,108065.139437854
2009-10-31,0.781481493601765,70333.3344241588
2010-01-31,0.519714142549029,46774.2728294126
2010-04-30,0.350133772694846,31512.0395425361
2010-07-31,0.345832897084158,31124.9607375743
2010-10-31,0.323241486060564,29091.7337454507
2011-01-31,0.232919802788843,20962.7822509958
2011-04-30,0.185689034573575,16712.0131116217
2011-07-31,0.116632599765115,10496.9339788604
2011-10-30,0.086038201162834,7743.43810465508
2012-01-31,0.085180211536215,7666.2190382593
2012-04-30,0.06556991817197,5901.29263547731
2012-07-31,0.066496903771468,5984.72133943211
2012-10-31,0.073537214207826,6618.34927870432
2013-01-31,0.063014956423985,5671.34607815864
2013-04-30,0.06364124842291,5550.26483952985
2013-07-31,0.06166960932811,5550.26483952985
2013-10-31,0.056623078061612,5096.07702554506
2014-01-31,0.044534522212317,4008.10699910855
2014-04-30,0.054672187101193,4920.49683910734
2014-07-31,0.054498301867545,4904.84716807906
2014-10-31,0.063676561383731,5730.8905245358
2015-01-31,0.044109308689521,3969.83778205686
2015-04-30,0.046786525639557,4210.78730756009
2015-07-31,0.015147113483074,1363.24021347662
2015-10-31,0.013836764641338,1245.30881772039
2016-05-31,0.013063824195886,1175.74417762975
2016-08-31,0.016752995431779,1507.7695888601
2016-11-30,0.015064336308182,1355.79026773633
2017-02-28,0.011282049689027,1015.38447201243
2017-05-31,0.014815551970214,1333.39967731928
2017-08-31,0.012599542979972,1133.95886819748
2017-11-30,0.020489749777476,1844.07747997288
2018-02-28,0.013691947148163,1232.27524333462
2018-05-31,0.016257025645981,1463.13230813824
2018-08-31,0.016303130628326,1467.2817565493
2018-11-30,0.015463140328598,1391.68262957381
2019-02-28,0.011034842980739,993.135868266534
2019-05-01,0.006736850780694,606.31657026246
2019-08-01,0.010468294653731,942.146518835788
2019-11-30,0.007726383316083,695.374498447496
2020-02-28,0.007162404263288,644.616383695944
2020-05-31,0.007795134152767,701.562073749058
2020-08-31,0.007650729136988,688.565622328909
2020-11-30,0.005688542026354,511.968782371891
2021-02-28,0.009453791792788,850.841261350963
2021-05-31,0.005044957246457,454.04615218115
2021-08-31,0.006246392948048,562.175365324316
